1,Fukuko,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
1,Jayce,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
1,Jayce,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
2,Willy,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
2,Willy,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
1,Jayce,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
2,Willy,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
3,PeeWee,OH,6.25,Wood,25,5.15,4.75,128.75,118.75,15.47,262.97
1,Jayce,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
2,Willy,OH,6.25,Wood,100,5.15,4.75,515.00,475.00,61.88,1051.88
3,PeeWee,OH,6.25,Wood,25,5.15,4.75,128.75,118.75,15.47,262.97
4,Hulkster,OH,6.25,Wood,50,5.15,4.75,257.50,237.50,30.94,525.94
